category_code,category_name,service_code,service_name,service_description
MSRV,Medical Services,HBV,Hepatitis B (HBV) vaccination,
SMP,Facility Smoking Policy ,SMON,Smoking not permitted,Smoking is not allowed.
SMP,Facility Smoking Policy ,SMOP,Smoking permitted without restriction ,Smoking permitted with no restriction.
SMP,Facility Smoking Policy ,SMPD,Smoking permitted in designated area,A designated area in which smoking is permitted.
AGE,Age Groups Accepted,CHLD,Children/Adolescents,Facility accepts children/adolescents (17 or younger) for treatment.
AGE,Age Groups Accepted,YAD,Young Adults ,Facility accepts young adults (18-25) for treatment. 
AGE,Age Groups Accepted,ADLT,Adults,Facility accepts adults (26-64) for treatment.
AGE,Age Groups Accepted,SNR,Seniors,Facility accepts seniors (65 or older) for treatment.
GN,Gender Accepted,FEM,Female,Female 
GN,Gender Accepted,MALE,Male,Male 
EXCL,Exclusive Services,DU,Specially designed program for DUI/DWI clients,
EXCL,Exclusive Services,DUO,Serves only DUI/DWI clients,An outpatient substance use treatment facility that serves driving under the influence (DUI) or driving while intoxicated (DWI) clients exclusively.
EXCL,Exclusive Services,AUDO,Alcohol use disorder clients only,
EXCL,Exclusive Services,OUDO,Opioid use disorder clients only,
SL,Language Services,AH,Sign language services for the deaf and hard of hearing,Service provided for persons who are deaf and hard of hearing.
SL,Language Services,SP,Spanish,Staff counselors provide treatment in Spanish.
SL,Language Services,NX,American Indian or Alaska Native languages,
SL,Language Services,FX,Other languages (excluding Spanish),
OL,Other Languages,F4,Arabic,Staff counselors provide treatment in Arabic.
OL,Other Languages,F17,Any Chinese Language,"Any principal language group of eastern Asia, belonging to the Sino-Tibetan language family."
OL,Other Languages,F19,Creole,Staff counselors provide treatment in Creole.
OL,Other Languages,F25,Farsi,Staff counselors provide treatment in Farsi.
OL,Other Languages,F28,French,Staff counselors provide treatment in French.
OL,Other Languages,F30,German,Staff counselors provide treatment in German.
OL,Other Languages,F31,Greek,Staff counselors provide treatment in Greek.
OL,Other Languages,F35,Hebrew,Staff counselors provide treatment in Hebrew.
OL,Other Languages,F36,Hindi,Staff counselors provide treatment in Hindi.
OL,Other Languages,F37,Hmong,Staff counselors provide treatment in Hmong.
OL,Other Languages,F42,Italian,Staff counselors provide treatment in Italian.
OL,Other Languages,F43,Japanese,Staff counselors provide treatment in Japanese.
OL,Other Languages,F47,Korean,Staff counselors provide treatment in Korean.
OL,Other Languages,F66,Polish,Staff counselors provide treatment in Polish.
OL,Other Languages,F67,Portuguese,Staff counselors provide treatment in Portuguese.
OL,Other Languages,F70,Russian,Staff counselors provide treatment in Russian.
OL,Other Languages,F81,Tagalog,Staff counselors provide treatment in Tagalog.
OL,Other Languages,F92,Vietnamese,Staff counselors provide treatment in Vietnamese.
OL,Other Languages,N24,Ojibwa,Staff counselors provide treatment in Ojibwa.
OL,Other Languages,N40,Yupik,Staff counselors provide treatment in Yupik.
FVP,Facility Vaping Policy,VAPN,Vaping not permitted,
FVP,Facility Vaping Policy,VAPP,Vaping permitted without restriction,
FVP,Facility Vaping Policy,VPPD,Vaping permitted in designated area,
AS,Ancillary Services,ACU,Acupuncture,"An alternative medicine treatment option that relies on stimulating various points on the body, most often with needles, to relieve pain or treat other physical, mental and emotional conditions."
AS,Ancillary Services,BC,Residential beds for clients' children,A residential treatment program that offers beds for children while their parents are in treatment.
AS,Ancillary Services,CM,Case management service  ,"Helps people arrange for appropriate services and supports through a case manager who monitors the needs of clients/patients and their families and coordinates services, such as mental health, social work, health, educational, vocational, recreational, transportation, advocacy, and respite care, as needed."
AS,Ancillary Services,CCC,Child care for clients' children,A treatment program that offers child care for children while their parents are in treatment.
AS,Ancillary Services,DVFP,"Domestic violence services, including family or partner",Provide safety assistance to victims of domestic violence.
AS,Ancillary Services,EIH,Early intervention for HIV,"Early detection and treatment of HIV, which can help prevent the onset of AIDS and other opportunistic infections. "
AS,Ancillary Services,MHS,Mental health services,"Assessment, diagnosis, treatment or counseling in a professional relationship to assist an individual or group in alleviating mental or emotional illness, symptoms, conditions or disorders."
AS,Ancillary Services,SSD,Social skills development,
AS,Ancillary Services,TA,Transportation assistance,
AS,Ancillary Services,IPC,Integrated primary care services,"These services address the general health care needs of persons with mental and substance use disorders. These general health care needs include the prevention and treatment of chronic illnesses (e.g., hypertension, diabetes, obesity, and cardiovascular disease) that can be aggravated by poor health habits such as inadequate physical activity, poor nutrition, and smoking. The services include screening, care coordination with staff, and providing linkages to ensure that all patient needs are met in order to promote wellness and produce the best outcomes.
"
AS,Ancillary Services,SPS,Suicide prevention services,"Services include identifying risk factors; educating staff on the signs of suicidal behavior and using methods to detect risk; and the assessment, intervention, and management of suicidal patients including treatment of an underlying mental or substance use disorder, and use of psychotropic medication, supportive services, and education. Hotlines help individuals to contact the nearest suicide prevention mental health provider."
